"varu-/tjänstegrupp","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"2104  öl, 2,8-3,5 %",98.42,100.66,99.61,107.23,100.99,100.78,99.99,102.11,99.92,101.97,103.62,99.96,102.26,100.59,102.89
"2203  öl, > 3,5 %",98.19,98.73,99.65,108.01,103.29,101.90,100.60,100.42,100.07,102.50,103.63,100.45,100.67,100.11,101.13
"2208  brännvin",100.33,99.52,99.26,100.43,101.56,100.66,100.19,99.74,100.00,101.04,100.97,100.31,102.05,100.33,100.91
"2209  whisky",99.40,99.39,99.69,100.74,100.86,101.00,100.27,100.30,100.30,101.13,101.18,100.32,101.29,100.38,100.80
"2210  likörer",100.94,100.45,99.89,101.13,101.91,101.66,100.31,100.36,100.64,101.02,101.02,100.73,101.97,100.49,100.57
"2211  övriga spritdrycker",100.13,100.25,99.76,101.13,101.45,100.85,100.29,100.35,100.70,101.30,100.54,100.40,101.87,100.90,101.24
"2212  röda viner",101.03,99.58,99.93,101.20,101.77,101.43,100.00,100.36,100.65,101.62,103.17,100.79,102.87,101.75,101.67
"2213  vita viner",101.09,100.34,100.22,101.15,101.82,101.11,100.25,100.84,101.33,103.08,103.93,100.78,103.58,101.84,101.90
"2214  mousserande vin",102.14,99.92,99.85,102.75,103.66,101.99,99.85,101.37,102.40,102.88,103.25,101.84,103.71,102.46,102.57
"2215  övriga viner",101.75,100.19,100.02,101.08,100.73,100.65,102.36,101.13,100.84,102.97,104.47,100.78,102.89,101.39,102.88
"2217  stark cider",98.05,99.90,101.40,101.46,100.91,100.62,100.21,101.10,101.53,102.82,102.59,100.31,93.83,100.22,101.82
"2218  blanddrycker",95.99,100.77,100.08,100.82,102.08,102.15,100.35,100.81,98.44,99.43,101.23,99.66,97.36,100.90,101.06
"2310  cigaretter",102.28,104.67,111.04,106.19,103.05,101.49,102.26,107.95,103.44,102.25,106.19,102.77,101.81,101.81,102.20
"2311  andra tobaksprodukter",101.66,102.39,123.31,123.80,103.51,104.74,102.83,115.20,100.58,98.02,103.10,101.72,101.27,102.13,102.08
"3101  damunderkläder",100.81,100.16,102.21,104.43,107.44,103.91,101.13,101.64,101.46,103.12,99.02,100.49,103.70,103.60,98.65
"3108  damlångbyxor",106.44,95.67,106.54,98.71,99.53,108.48,108.45,104.82,98.92,100.61,101.33,103.16,103.02,100.95,98.73
"3110  damkjol",98.63,102.50,104.79,88.84,102.49,99.28,101.16,96.76,105.84,105.13,99.29,105.53,102.69,100.17,99.31
"3111  klänning",108.58,108.36,96.15,103.22,95.57,101.81,110.24,99.89,99.22,104.42,101.47,102.26,97.97,102.47,101.27
"3114  damkappa",100.04,116.42,116.17,96.71,84.44,96.47,98.34,94.32,107.82,111.86,108.34,107.87,101.76,99.14,101.31
"3117  nattlinne",98.00,116.28,110.30,101.45,102.21,94.66,109.98,95.17,99.40,105.75,101.53,107.63,102.52,102.89,101.79
"3118  damjumper",96.56,98.27,100.40,95.82,96.24,106.64,101.52,100.98,103.20,97.87,102.55,101.77,102.20,100.70,99.58
